rank,story_id,title,main_category,subcategory,book_title,author,version,readiness,hook,emotion,share,save,voice,arc,video,trust,total,decision,recommended_format,reason,fact_check_note
20,1303,Hindinin yanlış öğrenimi,Felsefe,Düşünme,Siyah Kuğu,Nassim Taleb,1,Temel,15,8,13,13,9,9,19,4,90,Öncelikli video,Reel + Carousel,"Her gün beslenen hindinin Şükran Günü dönüşü kusursuz merak, ters köşe ve görsel anlatım sağlıyor.",Kaynak kontrolü önerilir
21,1321,Polaroid'in anlık cevabı,Verimlilik,Yaratıcılık,Güçlü Sorular,Warren Berger,1,Temel,15,8,13,13,9,9,19,4,90,Öncelikli video,Reel + Carousel,"Çocuğun basit sorusundan Polaroid’e geçiş sıcak, şaşırtıcı ve kusursuz görselleştirilebilir bir inovasyon öyküsü.",Kaynak kontrolü önerilir
22,1345,Kot pantolon ve felç edici özgürlük,Psikoloji,Psikoloji,The Paradox of Choice,Barry Schwartz,1,Temel,15,8,13,13,9,9,19,4,90,Öncelikli video,Reel + Carousel,"Kot mağazasında saatlerce kalıp mutsuz çıkmak seçim paradoksunu canlı, komik ve net biçimde gösteriyor.",Kaynak kontrolü önerilir
23,1417,Cirque du Soleil ve yeni pazar yaratma,Liderlik,Strateji,Mavi Okyanus Stratejisi,W. Chan Kim,1,Temel,15,9,13,13,9,9,19,3,90,Öncelikli video,Reel + Carousel,Ölen sirkten yetişkin tiyatrosuna geçiş son derece sinematik; palyaço ve sektör ayrıntıları düzeltilmeli.,Kaynak kontrolü şart
24,1572,Ortak amaç — 'neden' sorusu kültürü bir arada tutar,Liderlik,Liderlik,Kültür Kodu,Daniel Coyle,1,Temel,14,9,14,13,9,9,17,5,90,Öncelikli video,Reel + Carousel,"Tylenol krizinde değerlerin milyon dolarlık kararı yönlendirmesi yüksek riskli, net ve güvenilir bir marka öyküsü.",Standart doğrulama
25,1115,Ronald Read'in görünmez serveti,Finans,Finans,The Psychology of Money,Morgan Housel,1,Temel,15,10,13,14,9,8,17,4,90,Öncelikli video,Reel + Carousel,"Temizlikçiden gizli milyonere ve bağışa uzanan ters köşe güçlü duygu, güven ve paylaşım isteği yaratıyor.",Kaynak kontrolü önerilir
26,1119,Kör nokta ve beynin uydurma sanatı,Psikoloji,Nörobilim,Beyin Fırtınası,David Eagleman,1,Temel,15,8,13,14,10,8,17,5,90,Öncelikli video,Reel + Carousel,"İzleyicinin uygulayacağı kör nokta deneyi güçlü sürpriz, görsel kanıt ve algı üzerine sohbet üretir.",Standart doğrulama
27,1170,Sistem 1 ve Sistem 2,Psikoloji,Psikoloji,Karar Verme Sanatı,Daniel Kahneman,1,Temel,15,8,13,14,10,8,17,5,90,Öncelikli video,Reel + Carousel,10 sent tuzağı izleyiciyi doğrudan oyuna alır; anında ters köşe ve güvenilir düşünme dersi üretir.,Standart doğrulama
28,1693,Shackleton'ın 800 Millik Kurtuluş Yolculuğu,Tarih,Tarih,Endurance,Alfred Lansing,2,Zengin,14,8,14,10,9,10,19,5,89,Video kuyruğu,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik yeterli.,Standart doğrulama
29,1707,Metroda Bir Cümle Bütün Hikâyeyi Nasıl Değiştirdi?,Büyüme,Kişisel Gelişim,The 7 Habits of Highly Effective People,Stephen Covey,2,Zengin,12,10,14,11,10,9,19,4,89,Video kuyruğu,Soru odaklı Reel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü önerilir
30,1494,Sosyal bağlantı ve iyileşme,Psikoloji,Psikoloji,Kayıp Bağlantılar,Johann Hari,1,Temel,15,10,15,13,9,8,17,2,89,Video kuyruğu,Reel + Carousel,"Kamboçyalı çiftçi ve inek hikâyesi çok insani, görsel ve umutlu; tedavi sonucu tek örneğe indirgenmemeli.",Kaynak kontrolü şart
31,1501,Sezginin gerçek değeri,Tarih,Güvenlik,Korkudan Öğrenmek,Gavin de Becker,1,Temel,14,10,15,12,9,8,17,4,89,Video kuyruğu,Reel + Carousel,Asansördeki saldırı sezginin hayat kurtardığı yoğun bir sahne; gerilim ve çıkarım videoya kusursuz taşınır.,Kaynak kontrolü önerilir
32,1546,Satranç makinesi ve insan-makine işbirliği,Bilim,Teknoloji,İkinci Makine Çağı,Erik Brynjolfsson,1,Temel,15,9,15,12,9,8,17,4,89,Video kuyruğu,Reel + Carousel,Kasparov'u yenen insan-makine takımı beklenmedik galip ve güçlü gelecek mesajıyla çok dikkat çekici.,Kaynak kontrolü önerilir
33,1441,Kapı tasarımı ve hata yerine kullanıcıyı suçlamak,Verimlilik,Tasarım,Gündelik Nesneler Tasarımı,Don Norman,1,Temel,14,8,14,13,9,9,17,5,89,Video kuyruğu,Reel + Carousel,Norman kapısı herkesin yaşadığı bir hayal kırıklığını tek görüntüyle anlatıyor; video için çok güçlü.,Standart doğrulama
34,1535,Bilişsel uyumsuzluk — hatayı kabul edememenin psikolojisi,Felsefe,Öğrenme,Black Box Thinking,Matthew Syed,1,Temel,14,9,14,13,9,8,17,5,89,Video kuyruğu,Reel + Carousel,Kıyamet tarikatının başarısız kehanet sonrası daha çok inanması şaşırtıcı; bilişsel çelişkiyi unutulmaz kılıyor.,Standart doğrulama
35,1584,Anlam — para ve statünün ötesindeki arayış,Verimlilik,Yaratıcılık,Bütün Beyin,Daniel Pink,1,Temel,14,9,14,13,9,8,17,5,89,Video kuyruğu,Reel + Carousel,Frankl'ın kampta anlamla hayatta kalma anlatısı derin duygu ve dönüşüm taşır; saygılı işlendiğinde çok güçlü.,Standart doğrulama
36,1086,Martin Luther King'in hayali,Liderlik,Liderlik,Başlangıç Noktası,Simon Sinek,1,Temel,15,10,13,12,10,8,17,4,89,Video kuyruğu,Reel + Carousel,"Hazır metinden hayal konuşmasına geçiş ikonik, duygusal ve kusursuz bir kısa video dönüm noktası sunuyor.",Kaynak kontrolü önerilir
37,1462,Hafıza şampiyonlarıyla yarışmak,Felsefe,Öğrenme,Kalıcı Hafıza,Joshua Foer,1,Temel,14,9,14,14,9,8,16,5,89,Video kuyruğu,Reel + Carousel,Sıradan gazeteciden hafıza şampiyonuna dönüşüm net bir kahraman yolculuğu ve güçlü umut duygusu taşıyor.,Standart doğrulama
38,1096,Tepki verme özgürlüğü — Viktor Frankl'dan öğrenilen ders,Büyüme,Kişisel Gelişim,The 7 Habits of Highly Effective People,Stephen Covey,1,Temel,15,10,13,14,10,8,16,3,89,Video kuyruğu,Reel + Carousel,Auschwitz'de son özgürlük fikri çok güçlü; sözün tam kaynağı ve hassas tarihsel çerçeve korunmalı.,Kaynak kontrolü şart
39,1792,Barışı Öğrenen Sürü,Sağlık,Sağlık,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,F6,Zengin,13,10,15,8,10,9,20,3,88,Video kuyruğu,Soru odaklı Reel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi yeterli.,Kaynak kontrolü şart
40,1749,Okyanusta 47 Gün: Louis Zamperini,Tarih,Tarih,Unbroken,Laura Hillenbrand,2,Zengin,13,10,14,9,9,9,19,5,88,Video kuyruğu,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; ilk saniye etkisi yeterli.,Standart doğrulama
41,1695,Çernobil Gecesi Kontrol Odasında Ne Oldu?,Tarih,Tarih,Midnight in Chernobyl,Adam Higginbotham,2,Zengin,14,7,13,12,8,10,19,5,88,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik yeterli.,Standart doğrulama
42,1748,Everest'te Saat İkiyi Geçince,Tarih,Tarih,Into Thin Air,Jon Krakauer,2,Zengin,14,9,13,10,9,9,19,5,88,Video kuyruğu,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik yeterli.,Standart doğrulama
43,1489,Rat Park deneyi — bağımlılığın gerçek nedeni,Felsefe,Toplum,Bağımlılık Çağı,Johann Hari,1,Temel,14,10,15,13,9,8,17,2,88,Video kuyruğu,Reel + Carousel,Rat Park deneyinin kafes karşıtlığı unutulmaz görsel ve duygu taşır; geniş bağımlılık sonucu temkinli sunulmalı.,Kaynak kontrolü şart
44,1536,Marginal kazanımlar — Tour de France'ta bisiklet ekibi devrimi,Felsefe,Öğrenme,Black Box Thinking,Matthew Syed,1,Temel,13,8,14,15,9,7,17,5,88,Video kuyruğu,Reel + Carousel,Britanya bisiklet takımının yüzde birlik kazanımları net önce-sonra dönüşümü ve bol görsel ayrıntı taşıyor.,Standart doğrulama
45,1162,Sahte antika ve uzman gözü,Psikoloji,Psikoloji,Sezgi Gücü,Malcolm Gladwell,1,Temel,15,9,13,13,9,8,17,4,88,Video kuyruğu,Reel + Carousel,On dört aylık testleri tek bakışla bozan sahte heykel mükemmel ters köşe; ayrıntılar kaynakla desteklenmeli.,Kaynak kontrolü önerilir
46,1123,Michael Phelps'in görselleştirme rutini,Sağlık,Alışkanlıklar,Alışkanlıkların Gücü,Charles Duhigg,1,Temel,15,9,12,14,9,8,17,4,88,Video kuyruğu,Reel + Carousel,Suyla dolan gözlükle kör yüzüp rekor kırmak olağanüstü görsel dönüm noktası ve uygulanabilir prova dersi.,Kaynak kontrolü önerilir
47,1447,"Hayat kısa değil, biz onu israf ediyoruz",Felsefe,Felsefe,Hayatın Kısalığı Üzerine,Seneca,1,Temel,14,9,14,14,9,7,16,5,88,Video kuyruğu,Reel + Carousel,Seneca'nın hayat kısa değil sözü evrensel pişmanlığa dokunuyor; alıntı ve seslendirme için çok güçlü.,Standart doğrulama
48,1463,Hafıza sarayı ve uzamsal kodlama,Felsefe,Öğrenme,Kalıcı Hafıza,Joshua Foer,1,Temel,13,8,14,15,9,8,16,5,88,Video kuyruğu,Reel + Carousel,Simonides'in çöken salonu hafıza sarayını dramatik köken öyküsüyle anlatıyor; hem görsel hem uygulanabilir.,Standart doğrulama
49,1516,Anne testi nedir,Verimlilik,Girişimcilik,Müşteri Geliştirme,Rob Fitzpatrick,1,Temel,14,8,14,15,9,7,16,5,88,Video kuyruğu,Reel + Carousel,Anne Testi girişimcinin en yaygın yanılgısını komik ve uygulanabilir biçimde çözüyor; paylaşım gücü çok yüksek.,Standart doğrulama
50,1619,Şeytan döngüsü — saldır ve çekil sarmalı,İletişim,İlişkiler,İlişki Psikolojisi,Sue Johnson,1,Temel,13,9,14,14,9,8,16,5,88,Video kuyruğu,Reel + Carousel,Kovalayan-kaçan döngü çiftlerin kendini hemen gördüğü duygusal bir sahne; çözüm adımları videoyu tamamlıyor.,Standart doğrulama
51,1152,Toplama kampında anlam arayışı,Felsefe,Felsefe,Büyük Soru,Viktor Frankl,1,Temel,15,10,13,14,10,8,16,2,88,Video kuyruğu,Reel + Carousel,Auschwitz'de anlamla tutunma son derece güçlü; hayatta kalma nedeni ve alıntılar hassas biçimde doğrulanmalı.,Kaynak kontrolü şart
52,1729,Filler Ayaklarıyla Kilometrelerce Öteyi Nasıl Dinliyor?,Psikoloji,Psikoloji,An Immense World,Ed Yong,2,Zengin,13,9,14,11,9,8,19,4,87,Video kuyruğu,Soru odaklı Reel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü önerilir
53,1697,Bronz Madalya Kazananlar Neden Daha Mutlu?,Psikoloji,Psikoloji,The Power of Regret,Daniel H. Pink,2,Zengin,15,9,14,10,9,7,18,5,87,Video kuyruğu,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
54,1542,Napkin'de doğan fikirler — büyük kararların basit başlangıçları,Verimlilik,Yaratıcılık,Peçete Arkası,Dan Roam,1,Temel,14,8,14,13,9,7,17,5,87,Video kuyruğu,Reel + Carousel,"Southwest'ın peçetedeki üçgeni stratejiyi tek çizime indiriyor; basit, görsel ve güçlü bir dönüşüm anlatısı.",Standart doğrulama
55,1734,Uçağı Beş Dakika Kaçırmak Neden Otuz Dakikadan Daha Çok Acıtır?,Finans,İş & Girişim,The Undoing Project,Michael Lewis,2,Zengin,14,10,14,11,10,8,17,3,87,Video kuyruğu,Soru odaklı Reel,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü yeterli.,Kaynak kontrolü şart
56,1718,Sezar Rubicon’u Geçtiğinde Neden Geri Dönüş Yoktu?,Psikoloji,Mutluluk,Rubicon,Tom Holland,2,Zengin,13,9,13,12,9,9,17,5,87,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Standart doğrulama
57,1732,Kokpitte Kaptana İtiraz Etmek Neden Bir Güvenlik Kuralına Dönüştü?,Felsefe,Öğrenme,Black Box Thinking,Matthew Syed,2,Zengin,13,9,13,12,9,9,17,5,87,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Standart doğrulama
58,1088,Zappos'un sıfır stoklu ilk satışı,Verimlilik,Girişimcilik,Büyük Sıçrayış,Eric Ries,1,Temel,15,8,12,14,9,8,17,4,87,Video kuyruğu,Reel + Carousel,"Stoksuz ilk satış, para kaybı ve milyarlık çıkış net bir deney ve güçlü görsel dönüşüm oluşturuyor.",Kaynak kontrolü önerilir
59,1112,Michelin rehberinin doğuşu,Finans,Pazarlama,Purple Cow,Seth Godin,1,Temel,15,8,12,13,9,8,17,5,87,Video kuyruğu,Reel + Carousel,"Lastik satmak için restoran rehberi üretmek şaşırtıcı, gerçek ve kusursuz biçimde görselleştirilebilir.",Standart doğrulama
60,1121,Alcoa'nın beklenmedik dönüşümü,Sağlık,Alışkanlıklar,Alışkanlıkların Gücü,Charles Duhigg,1,Temel,15,8,12,14,9,8,17,4,87,Video kuyruğu,Reel + Carousel,Wall Street'in deli dediği güvenlik hedefinin beş kat değere dönüşmesi kusursuz iş hikâyesi akışı sunuyor.,Kaynak kontrolü önerilir
61,1448,Ertelemenin ölümcül yanılgısı,Felsefe,Felsefe,Hayatın Kısalığı Üzerine,Seneca,1,Temel,15,9,14,13,9,7,16,4,87,Video kuyruğu,Reel + Carousel,Ölüm döşeğinden gelen erteleme uyarısı ilk saniyede çarpar; izleyiciyi paylaşmaya ve harekete iter.,Kaynak kontrolü önerilir
62,1486,Johann Hari'nin telefon deneyi,Verimlilik,Verimlilik,Çalınan Dikkat,Johann Hari,1,Temel,14,9,14,14,9,7,16,4,87,Video kuyruğu,Reel + Carousel,Üç aylık telefonsuz deney net önce-sonra dönüşümü sunuyor; herkesin cebindeki soruna dokunduğu için çok güçlü.,Kaynak kontrolü önerilir
63,1525,Berbat ilk taslak,Finans,Finans,Parça Parça Yazmak,Anne Lamott,1,Temel,13,9,13,15,9,7,16,5,87,Video kuyruğu,Reel + Carousel,Berbat ilk taslak izni yaratıcıların utancını anında çözer; akılda kalıcı adıyla çok kaydedilir ve paylaşılır.,Standart doğrulama
64,1558,Acıyı ikiye katlamak — birincil ve ikincil acı,Psikoloji,Farkındalık,Radikal Kabul,Tara Brach,1,Temel,13,9,13,15,9,7,16,5,87,Video kuyruğu,Reel + Carousel,"Birinci ve ikinci ok metaforu acı ile zihinsel direnci ayırıyor; evrensel, görsel ve hemen uygulanabilir.",Standart doğrulama
65,1197,Vietnam gazilerinin dondurulmuş anları,Sağlık,Sağlık,Bedenin Sesi,Bessel van der Kolk,1,Temel,15,10,12,12,10,8,16,4,87,Video kuyruğu,Reel + Carousel,Kapı sesinde savaşa dönen beden son derece sarsıcı; travmayı bedende anlatan güçlü ve hassas bir hikâye.,Kaynak kontrolü önerilir
66,1786,Dört Bin Haftalık Ömür,Verimlilik,Verimlilik,Four Thousand Weeks,Oliver Burkeman,F5,Zengin,14,6,15,13,9,7,18,4,86,Video kuyruğu,Reel + Carousel,"Uygulanabilir çerçeve, hikâyeyi geri dönüp kaydetmeye değer kılıyor; olay örgüsü geliştirilmeli.",Kaynak kontrolü önerilir
67,1765,Fırçayı Dudağında Sivriltmek,Psikoloji,Psikoloji,The Radium Girls,Kate Moore,2,Zengin,13,9,14,10,9,8,18,5,86,Video kuyruğu,Soru odaklı Reel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
68,1264,Edison'ın fabrika yangını,Felsefe,Felsefe,Engel Yolu Açar,Ryan Holiday,1,Temel,14,8,13,12,9,9,18,3,86,Video kuyruğu,Reel + Carousel,"Yangın, beklenmedik tepki ve yeniden başlama sözü kusursuz kısa video akışı kuruyor; alıntılar teyit edilmeli.",Kaynak kontrolü şart
69,1311,Gecikme ve sabırsızlık tuzağı,Felsefe,Düşünme,Thinking in Systems,Donella Meadows,1,Temel,14,7,13,13,9,8,18,4,86,Video kuyruğu,Reel + Carousel,"Soğuk duştan kavurucu suya salınım, sistem gecikmesini herkesin anlayacağı canlı bir mini hikâyeye dönüştürüyor.",Kaynak kontrolü önerilir
70,1315,Instagram'ın pivot mucizesi,Bilim,Ürün,Müşteriyi Anlamak,Nir Eyal,1,Temel,14,7,13,12,9,9,18,4,86,Video kuyruğu,Reel + Carousel,"Burbn’dan tek özelliğe, oradan Instagram’a pivot net bir gerilim, veri dönüşü ve görsel akış kuruyor.",Kaynak kontrolü önerilir
71,1363,Dave Goldberg'i kaybetmek,Büyüme,Dayanıklılık,Zihinsel Dayanıklılık,Sheryl Sandberg,1,Temel,14,9,13,11,10,9,18,2,86,Video kuyruğu,Soru odaklı Reel,Ani eş kaybından Option B’ye geçiş çok güçlü; “otuz yıllık evlilik” gibi biyografik ayrıntılar hatalı.,Kaynak kontrolü şart
72,1726,Mendel’in Bezelyeleri Neden Otuz Yıl Sessiz Kaldı?,Psikoloji,Psikoloji,The Gene,Siddhartha Mukherjee,2,Zengin,13,8,13,12,9,8,18,5,86,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü yeterli.,Standart doğrulama
73,1330,Değerlerin hiyerarşisi,Büyüme,Kişisel Gelişim,Özgür Olmak,Mark Manson,1,Temel,14,7,13,13,10,8,17,4,86,Video kuyruğu,Reel + Carousel,“Hangi acıya değer?” sorusu kışkırtıcı ama yapıcı; sonucu değil süreci seçme fikri güçlü paylaşılır.,Kaynak kontrolü önerilir
74,1725,2008 Krizi Tony Robbins’in Sorusunu Nasıl Değiştirdi?,Finans,Finans,Money: Master the Game,Tony Robbins,2,Zengin,13,9,13,12,8,9,17,5,86,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Standart doğrulama
75,1731,George Ferris Paris’in Kulesine Nasıl Cevap Verdi?,Psikoloji,Mutluluk,The Devil in the White City,Erik Larson,2,Zengin,13,8,13,12,9,9,17,5,86,Video kuyruğu,Reel + Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; görselleştirme yeterli.,Standart doğrulama
76,1120,Bölünmüş beyin ve iki ben,Psikoloji,Nörobilim,Beyin Fırtınası,David Eagleman,1,Temel,15,8,12,13,9,8,17,4,86,Video kuyruğu,Reel + Carousel,Bir elin bildiğini dilin bilememesi ve uydurulan gerekçe çarpıcı; iki ben yorumu nüans gerektiriyor.,Kaynak kontrolü önerilir
77,1238,Katlanarak büyüme paradoksu,Bilim,Teknoloji,Doğrusal Olmayan Gelecek,Ray Kurzweil,1,Temel,15,7,12,14,9,7,17,5,86,Video kuyruğu,Reel + Carousel,Otuzuncu gün dolan havuz üstel büyümeyi tek animasyonla öğretir; güçlü sürpriz ve kayıt değeri taşır.,Standart doğrulama
78,1117,Yeterince zengin olmak — tatminsizlik tuzağı,Finans,Finans,The Psychology of Money,Morgan Housel,1,Temel,14,8,12,14,10,7,16,5,86,Video kuyruğu,Reel + Carousel,"Yüz milyon dolara rağmen düşüş, yeterli kavramına güçlü bedel ve evrensel bir öz değerlendirme sorusu katıyor.",Standart doğrulama
79,1142,Arenada dövüşmek,Büyüme,Kişisel Gelişim,Cesaret Vermek,Brené Brown,1,Temel,14,9,12,13,10,7,16,5,86,Video kuyruğu,Reel + Carousel,"Toz, ter ve kan içindeki arena sözü çok görsel; eleştiri korkusuna evrensel ve duygulu bir yanıt veriyor.",Standart doğrulama
80,1172,Linda problemi ve konjunksiyon hatası,Psikoloji,Psikoloji,Karar Verme Sanatı,Daniel Kahneman,1,Temel,15,8,12,13,9,8,16,5,86,Video kuyruğu,Reel + Carousel,Linda seçimi izleyiciyi hataya düşürüp açıklamasıyla ödüllendiriyor; kısa video için çok güçlü.,Standart doğrulama
81,1180,Korkuyla dans etmek,Verimlilik,Yaratıcılık,Yaratıcı Olmak,Elizabeth Gilbert,1,Temel,14,9,12,13,10,7,16,5,86,Video kuyruğu,Reel + Carousel,"Korkunun arabaya binip direksiyona geçmemesi çok güçlü, evrensel ve görsel bir yaratıcı cesaret metaforu.",Standart doğrulama
